,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_trimap,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.2,4,0.6833333333333333,0.6166666666666667,0.525,0.48333333333333334
1,0.2,5,0.7361111111111112,0.7152777777777778,0.4583333333333334,0.5972222222222223
2,0.2,6,0.6583333333333334,0.6166666666666668,0.4833333333333334,0.5333333333333334
3,0.2,7,0.7058823529411765,0.8014705882352942,0.5514705882352942,0.625
4,0.2,8,0.7333333333333333,0.7416666666666667,0.5,0.6833333333333333
5,0.2,9,0.7846153846153847,0.7076923076923077,0.5230769230769231,0.5923076923076923
6,0.2,10,0.6916666666666668,0.6166666666666667,0.5249999999999999,0.575
7,0.2,11,0.6507936507936508,0.7380952380952381,0.4920634920634921,0.6746031746031746
8,0.2,12,0.7833333333333334,0.7833333333333334,0.575,0.7166666666666667
9,0.2,13,0.8253968253968255,0.6825396825396826,0.4841269841269842,0.6349206349206349
10,0.2,14,0.7647058823529411,0.73109243697479,0.4621848739495798,0.6890756302521008
11,0.2,15,0.796875,0.9453125,0.46875,0.8359375
12,0.2,16,0.8833333333333333,0.7833333333333333,0.43333333333333335,0.8416666666666667
13,0.2,17,0.8809523809523808,0.8174603174603174,0.5238095238095238,0.761904761904762
14,0.2,18,0.8717948717948718,0.7863247863247863,0.4444444444444444,0.7264957264957267
15,0.2,19,0.8916666666666666,0.8166666666666669,0.47500000000000003,0.9166666666666666
16,0.2,20,0.7916666666666666,0.8250000000000002,0.5166666666666667,0.8166666666666668
17,0.2,21,0.8760330578512397,0.8181818181818182,0.5123966942148761,0.8347107438016529
18,0.2,22,0.8818181818181818,0.8181818181818181,0.5181818181818182,0.8
19,0.2,23,0.8583333333333334,0.9333333333333332,0.5166666666666666,0.8916666666666666
20,0.2,24,0.8333333333333334,0.9416666666666668,0.6166666666666667,0.875
21,0.2,25,0.8205128205128206,0.9572649572649574,0.4786324786324787,0.9230769230769231
22,0.2,26,0.8376068376068376,0.8205128205128205,0.5042735042735043,0.829059829059829
23,0.2,27,0.9285714285714286,0.9375,0.41964285714285715,0.9642857142857143
24,0.2,28,0.8035714285714286,0.9642857142857143,0.45535714285714285,0.9375
25,0.2,29,0.8916666666666667,0.8666666666666667,0.525,0.9
26,0.2,30,0.8166666666666667,0.8916666666666666,0.475,0.9500000000000001
27,0.2,31,0.8476190476190476,0.8380952380952381,0.4761904761904762,0.9142857142857144
28,0.2,32,0.8214285714285714,0.9464285714285714,0.5714285714285714,1.0
29,0.2,33,0.7983193277310924,1.0,0.5798319327731092,1.0
30,0.2,34,0.7478991596638654,0.8655462184873949,0.5966386554621848,0.8655462184873949
31,0.2,35,0.9444444444444443,0.9537037037037038,0.7407407407407408,0.9722222222222222
32,0.2,36,0.9351851851851852,0.9722222222222223,0.7129629629629629,1.0
33,0.2,37,0.8771929824561404,0.912280701754386,0.7280701754385964,1.0
34,0.2,38,0.8947368421052632,0.9736842105263158,0.7192982456140351,0.9736842105263158
35,0.2,39,0.975,0.9416666666666668,0.7999999999999999,0.9833333333333334
36,0.2,40,0.9833333333333334,0.975,0.85,1.0
37,0.2,41,0.980952380952381,0.8095238095238095,0.7523809523809524,1.0
38,0.2,42,0.8571428571428571,1.0,0.8,0.980952380952381
39,0.2,43,0.9090909090909092,1.0,0.7999999999999999,0.990909090909091
40,0.2,44,0.8545454545454547,0.8363636363636363,0.8090909090909092,1.0
41,0.2,45,0.9652173913043478,0.9391304347826086,0.7739130434782607,1.0
42,0.2,46,0.9304347826086957,0.9304347826086957,0.7913043478260869,0.9391304347826086
43,0.2,47,0.9333333333333332,0.9916666666666668,0.7833333333333333,1.0
44,0.2,48,0.825,0.9583333333333334,0.8666666666666666,1.0
45,0.2,49,0.84,0.86,0.77,1.0
46,0.2,50,0.94,1.0,0.8,1.0
47,0.2,60,0.9416666666666667,0.95,0.8,1.0
48,0.2,70,0.9904761904761905,1.0,0.8952380952380953,1.0
49,0.2,80,0.8916666666666666,0.9249999999999999,0.8916666666666666,1.0
50,0.2,90,0.9333333333333333,0.9444444444444444,0.9333333333333333,1.0
51,0.2,100,0.94,0.96,0.96,1.0
52,0.2,150,0.9466666666666667,0.8133333333333334,1.0,1.0
53,0.2,200,0.98,1.0,1.0,1.0
