,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.2,4,0.675,0.5083333333333333,0.48333333333333334
1,0.2,5,0.701388888888889,0.5069444444444445,0.46527777777777785
2,0.2,6,0.65,0.4916666666666668,0.3916666666666667
3,0.2,7,0.7058823529411765,0.4264705882352941,0.7132352941176471
4,0.2,8,0.6833333333333333,0.44166666666666665,0.5833333333333334
5,0.2,9,0.7692307692307693,0.5153846153846153,0.6615384615384615
6,0.2,10,0.725,0.625,0.5416666666666666
7,0.2,11,0.6507936507936508,0.46825396825396826,0.7619047619047619
8,0.2,12,0.7750000000000001,0.4583333333333333,0.6666666666666666
9,0.2,13,0.746031746031746,0.46825396825396826,0.6587301587301587
10,0.2,14,0.7226890756302521,0.5042016806722689,0.5798319327731092
11,0.2,15,0.84375,0.515625,0.8046875
12,0.2,16,0.8333333333333334,0.5333333333333333,0.8416666666666667
13,0.2,17,0.880952380952381,0.44444444444444436,0.7222222222222223
14,0.2,18,0.7435897435897435,0.5128205128205129,0.7094017094017094
15,0.2,19,0.8416666666666668,0.48333333333333334,0.8500000000000001
16,0.2,20,0.8166666666666668,0.5333333333333332,0.8166666666666668
17,0.2,21,0.8595041322314049,0.5041322314049587,0.8347107438016527
18,0.2,22,0.8727272727272727,0.5181818181818182,0.809090909090909
19,0.2,23,0.8583333333333334,0.4916666666666666,0.8833333333333334
20,0.2,24,0.7499999999999999,0.5666666666666667,0.8916666666666666
21,0.2,25,0.7606837606837608,0.5470085470085471,0.9487179487179487
22,0.2,26,0.7777777777777778,0.5042735042735043,0.7863247863247863
23,0.2,27,0.8660714285714286,0.41964285714285715,0.9017857142857143
24,0.2,28,0.8303571428571429,0.6071428571428572,0.8392857142857144
25,0.2,29,0.875,0.5916666666666667,0.9166666666666667
26,0.2,30,0.825,0.525,0.8833333333333333
27,0.2,31,0.8380952380952381,0.5047619047619047,0.8476190476190476
28,0.2,32,0.8303571428571429,0.48214285714285715,1.0
29,0.2,33,0.9327731092436975,0.5546218487394958,1.0
30,0.2,34,0.8235294117647058,0.6050420168067226,0.907563025210084
31,0.2,35,0.8611111111111112,0.5833333333333334,0.9444444444444443
32,0.2,36,0.9629629629629629,0.7962962962962963,1.0
33,0.2,37,0.8684210526315789,0.6666666666666666,0.9736842105263158
34,0.2,38,0.8333333333333334,0.6842105263157894,0.9298245614035089
35,0.2,39,0.9666666666666667,0.6916666666666665,0.9916666666666667
36,0.2,40,0.9666666666666667,0.7666666666666666,0.9166666666666666
37,0.2,41,0.8666666666666666,0.8476190476190476,1.0
38,0.2,42,0.8571428571428571,0.6571428571428573,1.0
39,0.2,43,0.9181818181818182,0.7181818181818181,1.0
40,0.2,44,0.8636363636363636,0.8090909090909092,1.0
41,0.2,45,0.9565217391304348,0.808695652173913,1.0
42,0.2,46,0.9739130434782609,0.773913043478261,1.0
43,0.2,47,0.9416666666666668,0.8083333333333332,1.0
44,0.2,48,0.8916666666666666,0.8166666666666667,1.0
45,0.2,49,0.8099999999999999,0.7,0.95
46,0.2,50,0.94,0.78,1.0
47,0.2,60,0.9583333333333334,0.8166666666666667,1.0
48,0.2,70,1.0,0.8666666666666666,1.0
49,0.2,80,0.8916666666666666,0.9,1.0
50,0.2,90,0.9,0.8222222222222222,1.0
51,0.2,100,0.8999999999999999,0.95,1.0
52,0.2,150,0.9466666666666667,1.0,1.0
53,0.2,200,0.97,1.0,1.0
